line_number,text,Source
1,దిక్కాలాద్యనవచ్ఛిన్నానంత చిన్మాత్ర మూర్తయే ।,neeti_satakam
2,స్వానుభూత్యేక మానాయ నమః శాంతాయ తేజసే ॥ 1,neeti_satakam
3,బోద్ధారో మత్సర గ్రస్తాః ప్రభవః స్మయ దూషితాః ।,neeti_satakam
4,అబోధోపహతాః చాన్యే జీర్ణమంగే సుభాషితమ్‌ ॥,neeti_satakam
5,అజ్ఞః సుఖమారాధ్యః సుఖతరమారాధ్యతే విశేషజ్ఞః ।,neeti_satakam
6,జ్ఞానలవ దుర్విదగ్ధం బ్రహ్మాపి తం నరం న రంజయతి ॥ 2,neeti_satakam
7,ప్రసహ్య మణిముద్ధరేన్మకర వక్త్ర దంష్ట్రాంతరాత్‌,neeti_satakam
8,సముద్రమపి సంతరేత్ప్రచలదూర్మి మాలాకులమ్‌ ।,neeti_satakam
9,భుజంగమపి కోపితం శిరసి పుష్పవద్ధారయేత్‌,neeti_satakam
10,న తు ప్రతినివిష్ట మూర్ఖ జన చిత్తమారాధయేత్‌ ॥ 3,neeti_satakam
11,లభేత సికతాసు తైలమపి యత్నతః పీడయన్‌,neeti_satakam
12,పిబేచ్చ మృగ తృష్ణికాసు సలిలం పిపాసార్దితః ।,neeti_satakam
13,కదాచిదపి పర్యటన్‌ శశ విషాణమాసాదయేత్‌,neeti_satakam
14,న తు ప్రతినివిష్ట మూర్ఖ జనచిత్తమారాధయేత్‌ ॥ 4,neeti_satakam
15,వ్యాళం బాల మృణాల తంతుభిరసౌ రోద్ధుం సముజ్జృంభతే,neeti_satakam
16,భేత్తుం వజ్రమణిం శిరీషకుసుమ ప్రాంతేన సన్నహ్యతి ।,neeti_satakam
17,మాధుర్యం మధుబిందునా రచయితుం క్షారాంబుధే రీహతే,neeti_satakam
18,మూర్ఖాన్యః ప్రతినేతు మిచ్ఛతి బలాత్సూక్తైః సుధా స్యందిభిః ॥ 5,neeti_satakam
19,స్వాయత్త మేకాంతహితం విధాత్రా,neeti_satakam
20,వినిర్మితం ఛాదనమజ్ఞతాయాః ।,neeti_satakam
21,విశేషతః సర్వ విదాం సమాజే,neeti_satakam
22,విభూషణం మౌనమపండితానామ్‌ ॥ 6,neeti_satakam
23,యదా కించిద్‌జ్ఞో-హం ద్విప ఇవ మదాంధః సమభవం,neeti_satakam
24,తదా సర్వజ్ఞో-స్మీత్యభవ దవలిప్తం మమ మనః ।,neeti_satakam
